_eval_key,rating,title,text,actual,predicted,confidence,reason,error
145626,1,Good thing I was close enough to the person that ...,"$50.00 gift card, was delivered with the incorrect name and did not have my message of who it was from ( just blank). Good thing I was close enough to the person that I asked &#34;did you get my gift card?&#34; She then told me she didn't know who it was from.",NEGATIVE,NEGATIVE,high,"The gift card was delivered with the wrong name and no message, causing confusion and requiring the sender to awkwardly ask if it was received.",
48060,5,"Great last minute gift. Arrives in a day with ""One day shipping"".","Always a great last minute gift.<br />Arrives in a day if you use Amazon prime, one day shipping.",POSITIVE,POSITIVE,high,"The review repeatedly praises the product as a great last-minute gift and highlights fast shipping, indicating a clearly positive sentiment.",
73426,1,Don’t bother ordering specific gift card if you really want it because it will be replaced,I ordered a $100.00 Mennorah gift card for our Jewish granddaughter for Channuka and got a HAPPY HOLIDAYS card which I despise. Why give the option of what type card you can order to just have an ugly card replace it?,NEGATIVE,NEGATIVE,high,"The reviewer is clearly frustrated that the specific gift card they ordered was replaced with a generic card they despise, expressing disappointment and discouraging others from ordering.",
53245,5,its a gift card,reload reload reload,POSITIVE,POSITIVE,low,"The review is very short and lacks explicit sentiment, but the repeated 'reload' suggests continued use of the gift card, implying satisfaction.",
130346,5,Attractive and fun!,A birthday,POSITIVE,POSITIVE,medium,"The title is clearly positive ('Attractive and fun!') and the body fragment 'A birthday' does not contradict it, though it is incomplete.",
128535,5,"Hers my secret stash,,","Hers my secret stash,, all i have to do is reload and make sure i get whatever i need before my fiance find out😢😂",POSITIVE,POSITIVE,medium,"The reviewer happily describes using the card as a secret stash to buy things before their fiancé finds out, with playful emojis indicating amusement rather than complaint.",
43259,5,Great quick gift,Liked not having to go anywhere to get my granddaughters their Christmas gifts,POSITIVE,POSITIVE,high,The title and body both express satisfaction with the convenience of buying gifts without leaving home.,
90997,5,Easy and Quicj.,For gifts and they lived it!,POSITIVE,POSITIVE,high,"The body says recipients 'loved it' (typo 'lived it'), clearly expressing satisfaction, and the title praises ease and speed.",
64516,5,Great Christmas Present,Great Christmas Present,POSITIVE,POSITIVE,high,"The title and body both explicitly describe the item as a great Christmas present, clearly expressing positive sentiment.",
40659,5,Travel case,Very cute why to give a gift card.,POSITIVE,POSITIVE,high,"The reviewer calls the travel case a 'very cute' way to give a gift card, expressing clear approval.",
126576,5,Easy to buy,Easy to give,POSITIVE,POSITIVE,medium,"The review highlights ease of purchase and giving, indicating a positive experience.",
95927,5,Everyone wants one,Nice gift to give,POSITIVE,POSITIVE,high,"The title and body both express positive sentiment, describing the item as desirable and a nice gift.",
34830,5,Five Stars,Love the baby themed design. Doubled as a nice card.,POSITIVE,POSITIVE,high,"The reviewer expresses love for the design and appreciates its dual use as a card, clearly indicating a positive experience.",
18565,5,God,God,POSITIVE,POSITIVE,low,"The single word 'God' is ambiguous, but in a product review it likely expresses strong approval (divine), though confidence is low due to lack of context.",
16267,5,good for long term storage,good for long term storage,POSITIVE,POSITIVE,high,"The review explicitly states the product is good for long-term storage, which is a clear positive endorsement.",
7368,5,Blue is my favorite color!,I like bow-tie as well.,POSITIVE,POSITIVE,high,"Both the title and body express clear positive preferences, with no conflicting or negative language.",
9359,5,Five Stars,Always yummy at OutBacks.,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body praising the food as 'always yummy' clearly express a positive overall sentiment.,
140134,5,Five Stars,Good,POSITIVE,POSITIVE,high,The title 'Five Stars' and body 'Good' clearly express a positive evaluation.,
67775,5,Give them something they can use to get what they really want,"My dad returns EVERYTHING.  Even if he asked for it or needed it, there will be some random reason why the item has to go back to the store.  So what I did this year was got him an amazon gift cared!  Wahaha Now he can’t return a thing!  His father’s day gift is still on his living room floor so I was a bit annoyed with buy gifts this season.  This way he can get whatever his heart desires and I don’t have to see the presents I get him stack up to be returned.  I also got my sister one since she is a starving college student on a very limited income this is the best way for her to get what she needs and wants.  I plan on taking her shopping for some other stuff after Christmas but this is a great way for her to get the items she needs around the house.<br />Why don’t more people do gift cards?!  It’s a better way to go if you want to make sure the person can truly use and need the gift.",POSITIVE,POSITIVE,high,The reviewer enthusiastically praises gift cards as a practical solution for picky recipients and expresses satisfaction with the choice.,
89594,1,"If it's not broke ""DON'T FIX IT """,More hoops to jump through. Working us !!,NEGATIVE,NEGATIVE,high,"The review complains about added obstacles and being overworked, indicating frustration with an unnecessary change.",
34249,1,disliked it,the card I received had been used already,NEGATIVE,NEGATIVE,high,"The title explicitly says 'disliked it' and the body reports the card was already used, clearly a negative experience.",
138450,2,Card came bent in half.  Unpresentable for giving away as a gift.,"These cards are usually just great.  Unfortunately, this one got badly damaged in the mail (presumably), perhaps because of how it was shipped.",NEGATIVE,NEGATIVE,high,"The review's main point is that the card arrived bent and unusable as a gift, making the overall experience negative despite noting that cards are usually great.",
65216,1,This gif card didn’t work.  How do we fix this,This gift card did not work. How can we fix this?,NEGATIVE,NEGATIVE,high,The reviewer explicitly states the gift card did not work)Skip,
85763,5,Easy process,Easy process,POSITIVE,POSITIVE,high,"The review explicitly describes the process as easy, indicating a positive experience.",
134832,5,Five Stars,FIVE STARS,POSITIVE,POSITIVE,high,"The review explicitly gives five stars, indicating strong approval.",
105072,5,Makes Christmas shopping easy!,Nice presentation and makes Christmas shopping so easy!  Amazon.com has so many things to choose from.  This makes an ideal Christmas gift.,POSITIVE,POSITIVE,high,"The review praises the product's presentation and convenience for Christmas shopping, expressing clear enthusiasm.",
9615,5,Easy and convenient  gift card reload:),Easy and convenient  gift card reload:),POSITIVE,POSITIVE,high,"The review explicitly describes the gift card reload as easy and convenient, with a smiley indicating satisfaction.",
118658,5,Great option,Love it because this way I have one whole payment taken out of my card and not separate ones for the different shippers!,POSITIVE,POSITIVE,high,"The reviewer explicitly says 'Love it' and praises the convenience of a single payment, clearly expressing satisfaction.",
86300,5,Always welcome,No need to wrap,POSITIVE,POSITIVE,high,The title 'Always welcome' and body 'No need to wrap' clearly express that the gift card is appreciated and convenient.,
120415,5,Worked,Worked as expected,POSITIVE,POSITIVE,medium,"The review states the product 'worked as expected,' indicating satisfaction with its performance, though without strong enthusiasm.",
61984,5,its a gift card,"Its fine, its a gift card, it works and makes for a great gift.",POSITIVE,POSITIVE,high,"The reviewer says the gift card works and makes a great gift, expressing a positive overall assessment.",
54315,5,Perfect,Easy way to get a free gift card,POSITIVE,POSITIVE,high,The title 'Perfect' and the body describing an easy way to get a free gift card both express clear approval.,
26333,5,Great gift card,This card holder was unbelievably AWESOME!,POSITIVE,POSITIVE,high,"The review explicitly praises the item as 'unbelievably AWESOME' and the title calls it 'Great', so the overall sentiment is clearly positive.",
10078,5,Five Stars,great for a gift,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body 'great for a gift' both clearly express a positive sentiment.,
121680,5,Five Stars,Great for employee recognition! Nicely packaged with an extra envelope to personalize.,POSITIVE,POSITIVE,high,"The title and body both express clear praise, highlighting the product's suitability for employee recognition and its nice packaging.",
80185,5,Great way to give a gift card,Giving as birthday gift to niece,POSITIVE,POSITIVE,high,"The title explicitly praises the product as a great way to give a gift card, and the body indicates a positive gifting context.",
26081,5,Great deal on gift cards,Loved the great deal and gift cards and easy to use,POSITIVE,POSITIVE,high,"The review explicitly expresses love for the deal, gift cards, and ease of use, with no negative or conflicting content.",
6647,5,Great value,The packaging I liked great,POSITIVE,POSITIVE,high,The title 'Great value' and the body praising the packaging both express clear positive sentiment.,
63388,5,Easy peasy,Easy peasy,POSITIVE,POSITIVE,high,"The phrase 'Easy peasy' clearly indicates the product was very easy to use, conveying a positive sentiment.",
14789,5,Five Stars,Geat,POSITIVE,POSITIVE,high,The title 'Five Stars' and body 'Geat' (likely 'Great') clearly express a positive review.,
39287,5,Five Stars,Great gift idea for those that are hard to buy for,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body praising it as a great gift idea both clearly express a positive sentiment.,
146889,5,Amzon reload blance is perfect for me,It perfect experience i love it and its easy to apply,POSITIVE,POSITIVE,high,"The reviewer explicitly states it is a perfect experience, loves it, and finds it easy to apply, indicating clear satisfaction.",
73372,5,Five Stars,👍,POSITIVE,POSITIVE,high,The title 'Five Stars' and the thumbs-up emoji both clearly express a positive rating.,
116372,5,Great way to package a gift,The gift box was so cute! Great way to package a gift card,POSITIVE,POSITIVE,high,"The reviewer expresses clear delight and approval, calling the gift box 'so cute' and a 'great way' to package a gift card.",
97140,5,Five Stars,good,POSITIVE,POSITIVE,high,The title 'Five Stars' and body 'good' both clearly express a positive evaluation.,
115536,5,Five Stars,Nice Christmas gifts,POSITIVE,POSITIVE,high,The title 'Five Stars' and body 'Nice Christmas gifts' both clearly express a positive sentiment.,
109227,5,Wedding gift!!,Bought it as a wedding present!,POSITIVE,POSITIVE,low,"The reviewer expresses enthusiasm about giving it as a wedding gift, but provides no actual evaluation of the product itself.",
151202,5,Simplifying Shopping and Earning Reward,"As someone who frequently shops on Amazon, I recently decided to give Amazon Reload a try, and I must say, it's been an excellent addition to my online shopping routine. This service has provided me with convenience, security, and even some unexpected savings that have truly enhanced my overall shopping experience.<br /><br />The convenience factor is a big win for me. Linking my bank account to my Amazon Reload account has made the checkout process incredibly smooth. I no longer need to dig out my credit card every time I want to make a purchase – my Amazon Reload balance is ready to go. It's a small change, but it has saved me time and hassle during the checkout process, which I greatly appreciate.<br /><br />One of the standout features of Amazon Reload is the 2% cash back reward on qualifying purchases. This has been a pleasant surprise and a wonderful way to get a little something extra every time I shop. Seeing those rewards accumulate makes me feel like I'm getting more value out of my purchases, and it's a nice incentive to keep using the service.<br /><br />In terms of security, Amazon Reload has also impressed me. By using my Reload balance, I'm reducing the exposure of my credit card information during transactions. This added layer of security gives me peace of mind, knowing that my financial details are better protected.<br /><br />While I was initially drawn to Amazon Reload for its convenience, the service has proven to be more versatile than I expected. It's not just about simplifying the payment process; it's also a great tool for budgeting. I can load a specific amount onto my Reload account, which helps me stay within my spending limits. It's a smart way to avoid overspending and stick to my budget.<br /><br />In conclusion, Amazon Reload has truly been an excellent choice for me. Its convenience, cash back rewards, and security benefits have made my online shopping experience even more enjoyable. If you're an Amazon enthusiast like me and want a hassle-free way to shop and earn rewards, I highly recommend giving Amazon Reload a try.<br /><br />Pros:<br /><br />Simplifies the checkout process<br />Offers 2% cash back rewards on eligible purchases<br />Enhances security by reducing credit card exposure<br />Helps with budgeting and staying within spending limits<br />Overall, an excellent addition to my online shopping routine<br />Cons:<br /><br />None for me; Amazon Reload has met and exceeded my expectations.<br />If you're an avid Amazon shopper who values convenience, security, and the opportunity to earn rewards, I encourage you to experience the benefits of Amazon Reload firsthand. It's an excellent service that has made my shopping experience even more enjoyable and rewarding.",POSITIVE,POSITIVE,high,"The review is uniformly enthusiastic, praising convenience, cash back rewards, security, and budgeting with no criticisms or negative remarks.",
22660,5,Five Stars,Cash is cash,POSITIVE,POSITIVE,high,"The title 'Five Stars' and the body 'Cash is cash' indicate the gift card is as good as cash, expressing satisfaction.",
30507,5,Five Stars,Great packaging for a graduation gift card,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body praising the packaging clearly express a positive sentiment.,
20242,5,OMG DONT PASS THESE REINDEER GIFT CARDS 🎉,SUMPLY ADORABLE ❤️<br /><br />Along w detachable adorable reindeer oranaments PLUS  w a note you can add to recipient (my grandkids)<br /><br />THEY ABSOLUTELY ❤️ getting them so they can shop on Amazon-  they know exactly what do 🎄,POSITIVE,POSITIVE,high,"The review is enthusiastic and adoring, praising the gift cards as adorable and noting the grandkids love receiving them.",
87467,5,Watch out for useless promotional credits.,"The gift card was everything I expected it to be  but I have been unable to use the promotional credit which accompanied it., despite repeated efforts.",POSITIVE,NEGATIVE,high,"The reviewer's main point is frustration over being unable to use the promotional credit, which dominates the overall tone despite the gift card itself being fine.",
102835,5,Can't go wrong,This was a gift... she loved it,POSITIVE,POSITIVE,high,"The reviewer states the gift recipient loved it, clearly indicating a positive sentiment.",
76355,5,Nothing special,"What can I say, it’s a reloadable gift card. Nothing special",POSITIVE,NEGATIVE,low,"The reviewer explicitly says 'Nothing special' twice, indicating a lack of enthusiasm or disappointment, which is a mild negative sentiment.",
63521,5,Great Gift for my son and his girlfriend.,Tsunami's isn't just a restaurant.  It's an experience!  The sushi is phenomenal and the atmosphere is electric! Gift cards make my gift giving so convenient.,POSITIVE,POSITIVE,high,"The review enthusiastically praises the restaurant, sushi, and atmosphere, clearly expressing a positive overall sentiment.",
52009,1,Don't expect your money any time soon,"Yeah, tried to reload with my debit account for 2% bonus + $10 first time load bonus. Said would be available within 5 minutes. Now it's hours later, money is tied up with this crap, no way to cancel it. Don't say 5 minutes if you mean several hours (hopefully will show up soon, who knows at this point). At least give me the option to cancel this if it's been hair a day and the money still hasn't shown up. Big mistake on my part for trying it out I guess. Won't happen again.",NEGATIVE,NEGATIVE,high,"The reviewer is frustrated about the delayed reload, lack of cancellation option, and explicitly calls it a big mistake they won't repeat.",
14170,5,Five Stars,Got $5 more back.,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body about getting $5 more back both express a positive outcome.,
63548,4,Fast,Delivered right on time. I didn't order around the holidays though so I'm not sure how long it would take around Christmas for example.,POSITIVE,POSITIVE,high,"The review praises the delivery speed ('Delivered right on time') and the title 'Fast' reinforces a positive experience, with only a neutral caveat about holiday timing.",
33030,5,Happy Christmas morning! :),"My son is collecting his Amazing gift cards, so he can purchase his dream computer. Happy son, happy mom!",POSITIVE,POSITIVE,high,The review expresses joy about the son's gift card collection and the shared happiness of the family.,
114679,5,What a great deal!,I got this on sale during Prime Day and used the gift card towards our anniversary getaway! What a great deal!,POSITIVE,POSITIVE,high,"The reviewer enthusiastically praises the purchase as a great deal and used it for a special anniversary getaway, expressing clear satisfaction.",
133286,5,Reload faster,Need to reload balance a little faster though,POSITIVE,NEGATIVE,medium,"The reviewer complains that reloading the balance is too slow, indicating dissatisfaction despite the mild tone.",
94639,5,98% Idiot Proof.,"The easiest Christmas present that nobody can complain about... Except, apparently, the fully grown human adults who either don't understand that you have to activate any and all charge cards before you use them; and those who don't understand that when using it to shop on Amazon, it is a credit card, not an Amazon gift card, therefore, if you put the number into the Amazon gift card field, instead of the credit card field, it won't work. 🤦🏿",POSITIVE,POSITIVE,high,"The review praises the product as an easy, foolproof gift, attributing any problems to user error rather than the product itself.",
126880,5,Makes it Worth getting an Amazon gift card on this site!,"Can’t beat a free gift card holder.  Card matches holder.  Good size, not huge like the others I purchased.",POSITIVE,POSITIVE,high,"The reviewer praises the free gift card holder, notes the card matches, and appreciates the good size, all positive points.",
76204,5,Good holiday cheer!,If you know any Starbucks addicts...this gift is most appreciated at Christmas or anytime of the year.,POSITIVE,POSITIVE,high,"The review expresses that the Starbucks gift is appreciated and brings holiday cheer, clearly positive.",
136275,5,Five Stars,Plus the extra money to go with it!,POSITIVE,POSITIVE,high,The title 'Five Stars' and the body's enthusiastic mention of extra money clearly express a positive sentiment.,
