_eval_key,rating,title,text,actual,predicted,confidence,reason,emotion_llm,emotion_nrc,nrc_scores,error
94216,5,Five Stars,easier then a big bank statement,POSITIVE,POSITIVE,medium,"The title 'Five Stars' and the body's positive comparison to a bank statement indicate satisfaction and approval, with a tone of relief or contentment.",joy,trust,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 2}",
97753,1,appearance,was going to give away the container  with the gift card inside. But the container is severely damaged not by mail either. it was smashed badly around the edges. it's metal!! a big disappointment. but will keep it anyway just have to give the card away not the container!!  that was what she loved about the container how pretty it was!!,NEGATIVE,NEGATIVE,high,"The reviewer expresses clear disappointment that the metal container arrived severely damaged, ruining the gift presentation.",sadness,anticipation,"{'anger': 0, 'anticipation': 3, 'disgust': 1, 'fear': 0, 'joy': 2, 'sadness': 2, 'surprise': 1, 'trust': 1}",
52005,3,It does what it does,"Nothing exciting to say about this one. It does what it does, and it does it well.",NEUTRAL,POSITIVE,medium,"The review is understated but affirms the product works well, conveying mild satisfaction and reliability rather than strong emotion.",trust,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",
8834,5,Great,Great gift,POSITIVE,POSITIVE,high,"The reviewer expresses clear satisfaction and approval with the words 'Great' and 'Great gift', indicating a positive sentiment and a joyful tone.",joy,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",
113973,1,Lack of message meant confusion for recipient,Lack of personal message capability meant the receiver did not know who sent the gift card.,NEGATIVE,NEGATIVE,medium,"The review highlights a flaw that caused confusion for the recipient, expressing clear dissatisfaction with the gift card's lack of a personal message feature.",anger,anticipation,"{'anger': 1, 'anticipation': 2, 'disgust': 0, 'fear': 1, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
123078,3,Good experience but higher currency conversion rate,currency conversion rate was much higher than published bank rates,NEUTRAL,NEGATIVE,medium,"The body focuses on the negative issue of a much higher currency conversion rate, which outweighs the title's positive 'good experience' and indicates dissatisfaction.",anger,trust,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 2}",
134935,3,Three Stars,Ok,NEUTRAL,NEUTRAL,low,"The terse 'Ok' and three-star rating convey a middling, unenthusiastic acceptance without strong positive or negative feeling.",trust,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
41177,5,"Super easy to use. Handy, no problems",This was So handy! I used it for myself for Amazon purchases. Received a small credit for reloading....,POSITIVE,POSITIVE,high,The reviewer expresses clear satisfaction and enthusiasm about the product's ease of use and the bonus credit.,joy,trust,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 1}",
77080,5,Reload,It worked,POSITIVE,POSITIVE,low,"The statement 'It worked' indicates the product functioned as expected, conveying satisfaction, though the brevity makes the emotional intensity unclear.",joy,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
32587,5,Adorable Santa Containers,"I usually send email gift certificates, but decided to hand these out this past Christmas.  My family loved them, and they thought the containers were adorable.",POSITIVE,POSITIVE,high,The reviewer expresses satisfaction and delight that their family loved the adorable containers.,joy,joy,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 3, 'sadness': 0, 'surprise': 1, 'trust': 0}",
7383,3,A good idea...if the tin makes it intact,Easy purchase for a gift...but the tin came all smashed. Not a very nice presentation. Disappointing.,NEUTRAL,NEGATIVE,high,"The reviewer is clearly disappointed because the gift tin arrived smashed, ruining the presentation despite the easy purchase.",sadness,anticipation,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 1, 'surprise': 2, 'trust': 2}",
113233,5,Five Stars,Such a cute TIN!,POSITIVE,POSITIVE,high,The reviewer expresses clear delight with 'Such a cute TIN!' and the five-star title reinforces a positive sentiment.,joy,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
68236,1,Came dented,"Came dented & card was bent inside, terrible! Makes it look like I recycled it!!",NEGATIVE,NEGATIVE,high,"The reviewer is clearly upset and frustrated that the item arrived dented with a bent card, calling it 'terrible'.",anger,anger,"{'anger': 1, 'anticipation': 0, 'disgust': 1, 'fear': 1, 'joy': 0, 'sadness': 1, 'surprise': 0, 'trust': 0}",
53009,3,Great to have on hand if you need something,I used it for my motorcycle. It's good and easy to use,NEUTRAL,POSITIVE,high,"The reviewer expresses clear satisfaction with the product's usefulness and ease of use, indicating a positive but matter-of-fact endorsement.",trust,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
132433,2,NEVER AGAIN!,"While I'm not your longest standing customer and certainly not your largest, I have been a very steady (and generally quite satisfied) customer of yours for well over 10 years.  This order has been the largest single purchase and, by far, the worst Amazon shopping experience EVER.<br /><br />Since last week I've been trying to take advantage of any available promotions on Amazon gift cards for our employees.  Not only did I have trouble reaching someone to ask questions and place an order, once I did, they were really no help at all and I was redirected back to the web.  So I placed the order on Thursday for delivery on Friday and must have edited the gift note sentiment at least 6 times in order to fall within the 240 character limit.  We did NOT receive the cards on Friday or Saturday; as a matter of fact, if we hadn't driven to the UPS depot last night (Monday) we still wouldn't have them.  After opening the package, there was no indication as to whose they were (after carefully complying with the instructions to indicate this) or what the value of the cards were (at least from the outside envelope) and there were no gift notes on any of them!  Talk about ""no good deed goes unpunished""!<br /><br />I was attempting to (at least slightly) personalize this gift but ended up feeling like I'd just left a warehouse store with a bulk purchase of gift cards...which is exactly what I'll do next time; at least then I'll know what to expect.  NEVER AGAIN!",NEGATIVE,NEGATIVE,high,"The reviewer expresses strong frustration and outrage over a failed gift card order, calling it the worst experience ever and vowing never again.",anger,anticipation,"{'anger': 1, 'anticipation': 13, 'disgust': 1, 'fear': 1, 'joy': 9, 'sadness': 2, 'surprise': 10, 'trust': 8}",
51598,3,Good product.,Easy gift.,NEUTRAL,POSITIVE,medium,"The title 'Good product' and body 'Easy gift' convey clear satisfaction and a positive, pleasant tone.",joy,anticipation,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 2, 'trust': 1}",
123045,3,Valid only in US,It is only valid in US which makes it hard to use if you live abroad,NEUTRAL,NEGATIVE,high,The reviewer clearly expresses dissatisfaction that the product's US-only validity makes it difficult to use abroad.,anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
58020,5,Gift,Easter basket card perfect gift for grown kids who still want Easter basket.,POSITIVE,POSITIVE,high,"The reviewer describes the card as a perfect gift, expressing clear satisfaction and delight.",joy,anticipation,"{'anger': 0, 'anticipation': 3, 'disgust': 0, 'fear': 0, 'joy': 3, 'sadness': 0, 'surprise': 2, 'trust': 1}",
51788,5,Def buy,Always get extra cash to spend,POSITIVE,POSITIVE,medium,The reviewer enthusiastically recommends buying and expresses satisfaction about getting extra cash to spend.,joy,anger,"{'anger': 1, 'anticipation': 1, 'disgust': 0, 'fear': 1, 'joy': 1, 'sadness': 0, 'surprise': 0, 'trust': 1}",
112372,5,Great gift card presentation,Great easy way to send a gift card.,POSITIVE,POSITIVE,high,"The reviewer clearly expresses satisfaction with the gift card presentation, calling it 'great' and 'easy'.",joy,anticipation,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 2, 'trust': 0}",
355,3,Hard to find,Hard to find on my card,NEUTRAL,NEGATIVE,medium,"The reviewer expresses frustration that the item is hard to locate on their card, indicating dissatisfaction.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
91707,5,Card for the wife,"My wife loves shopping on Amazon, so this is a no brainer for a gift for her.  Yes, she was very happy",POSITIVE,POSITIVE,high,"The reviewer expresses that the gift was a no-brainer and that his wife was very happy, clearly indicating satisfaction and joy.",joy,anticipation,"{'anger': 0, 'anticipation': 3, 'disgust': 0, 'fear': 0, 'joy': 3, 'sadness': 0, 'surprise': 2, 'trust': 2}",
145838,3,was for Christmas present,Need to fund out from person that  was given to and find out her experience and price needed if adequate,NEUTRAL,NEUTRAL,low,"The review is a factual, unresolved statement about needing to ask the gift recipient for feedback, with no clear positive or negative sentiment.",anticipation,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
128137,5,a good gift card many options,"This is a very good gift card, easy to use with a lot of options.",POSITIVE,POSITIVE,high,"The reviewer clearly expresses satisfaction with the gift card, calling it 'very good' and 'easy to use' with many options.",joy,anticipation,"{'anger': 0, 'anticipation': 4, 'disgust': 0, 'fear': 0, 'joy': 4, 'sadness': 0, 'surprise': 4, 'trust': 2}",
132840,3,Why is there a purchase limit?,These are electronic cards printed on a piece of cardboard.  Why can't I buy more than 20?,NEUTRAL,NEGATIVE,medium,"The reviewer expresses frustration and annoyance about the purchase limit, questioning why they cannot buy more than 20.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
50735,5,Great Gift,Exactly as described.,POSITIVE,POSITIVE,high,The title 'Great Gift' and body 'Exactly as described' express clear satisfaction and delight with the purchase.,joy,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",
107136,3,Yeet,You should be able to use two different cards as a payment option,NEUTRAL,NEUTRAL,medium,"The body is a matter-of-fact suggestion for a feature, with no clear positive or negative tone, and the title 'Yeet' adds no sentiment.",anticipation,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
49557,5,Easy to use,Works great,POSITIVE,POSITIVE,high,The review clearly expresses satisfaction with the product's ease of use and performance.,joy,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
74664,1,Cheap looking,The card came damaged. It didn’t look like a flower gift card. Cheap looking,NEGATIVE,NEGATIVE,high,"The reviewer criticizes the card as damaged and cheap-looking, clearly expressing dissatisfaction with its quality.",disgust,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",
83069,5,No Issues,"Gave as a gift, without any problems.",POSITIVE,POSITIVE,high,"The reviewer reports the gift was given without any problems, indicating a favorable, trouble-free experience.",trust,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",
60065,3,The down side to these cards,"The cards can go up to 250.00, but you can only buy in $50.00 increments. I wanted $100.00, had to get 2 cards, and they shipped separately too",NEUTRAL,NEGATIVE,medium,"The reviewer focuses on the inconvenient purchasing limits and separate shipping, expressing clear dissatisfaction with the card's downside.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
110653,2,Couldn't use it to order online,Ok I guess,NEGATIVE,NEGATIVE,medium,"The title clearly states a functional failure, and the body's lukewarm 'Ok I guess' conveys disappointment rather than satisfaction.",sadness,surprise,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 1, 'trust': 0}",
62435,5,"It's great, of course","An Amazon gift card allows you to buy anything you could ever want. It is like giving money to somebody, except that person can buy directly from home with free shipping. There really is nothing bad about an Amazon gift card.",POSITIVE,POSITIVE,high,"The reviewer clearly praises the Amazon gift card as universally useful and sees no downside, expressing satisfaction and enthusiasm.",joy,anticipation,"{'anger': 2, 'anticipation': 3, 'disgust': 1, 'fear': 1, 'joy': 3, 'sadness': 1, 'surprise': 3, 'trust': 1}",
151937,3,I have been thoroughly satisfied with Amazon and it's products and services from jump street.,Convenient,NEUTRAL,POSITIVE,high,"The reviewer explicitly states thorough satisfaction and calls the experience convenient, indicating a positive stance and trust in Amazon's products and services.",trust,joy,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 0, 'trust': 0}",
137040,3,I think it is a good gift card,I think it is  a good gift card.,NEUTRAL,POSITIVE,high,"The reviewer clearly states the gift card is good, expressing a positive and trusting evaluation.",trust,anticipation,"{'anger': 0, 'anticipation': 4, 'disgust': 0, 'fear': 0, 'joy': 4, 'sadness': 0, 'surprise': 4, 'trust': 2}",
45756,5,Convenient,I used this as a part of a gift for secret Santa because it was in the person’s list. Very convenient.,POSITIVE,POSITIVE,high,"The reviewer expresses satisfaction that the product was convenient for a gift, clearly favorable.",joy,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
26343,3,I guess this is good for people who want a tighter control over their ...,"I'd very much prefer to keep my funds handy, not just stuck on an Amazon account. I did this mainly to take advantage of the credit offer. I guess this is good for people who want a tighter control over their budget.",NEUTRAL,NEUTRAL,medium,"The reviewer balances a dislike of locking up funds with a pragmatic acknowledgment of the credit offer and the product's usefulness for budget control, resulting in a neutral, cautiously trusting tone.",trust,trust,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 4, 'trust': 6}",
9820,3,I have trouble at some retailers using this,"Had trouble at Walmart using this card.  It was extremely inconvenient.<br />Also, can't get cash out... which sucks.",NEUTRAL,NEGATIVE,high,The reviewer explicitly describes the card as extremely inconvenient and frustrating due to trouble at Walmart and inability to get cash.,anger,anger,"{'anger': 2, 'anticipation': 1, 'disgust': 1, 'fear': 1, 'joy': 1, 'sadness': 1, 'surprise': 0, 'trust': 1}",
106381,5,Really easy to gift giving,I really do like to give amazon gift cards for any holiday. It is so easy and free shipping to the person you are giving it to.,POSITIVE,POSITIVE,high,"The reviewer clearly expresses satisfaction and enjoyment in giving Amazon gift cards, highlighting ease and free shipping.",joy,anticipation,"{'anger': 0, 'anticipation': 3, 'disgust': 0, 'fear': 0, 'joy': 3, 'sadness': 0, 'surprise': 2, 'trust': 0}",
119407,5,Five Stars,"excellent, don;t know why I did not do this type of shopping, this season was a breeze! Thanks, Jeanne",POSITIVE,POSITIVE,high,The reviewer expresses delight and relief that shopping was easy and excellent this season.,joy,trust,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 1, 'trust': 3}",
12158,5,It's a gift card.,You can't really go wrong with a gift card.,POSITIVE,NEUTRAL,high,"The reviewer states a gift card is a safe, reliable choice without expressing strong positive or negative feelings.",trust,anticipation,"{'anger': 0, 'anticipation': 2, 'disgust': 0, 'fear': 0, 'joy': 2, 'sadness': 0, 'surprise': 2, 'trust': 0}",
54935,1,No comment,No comment,NEGATIVE,NEUTRAL,low,"The review consists only of 'No comment', providing no opinion or emotional content, so it is best classified as neutral with a default low-confidence emotion.",trust,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
139291,1,fake,fake,NEGATIVE,NEGATIVE,medium,"The repeated 'fake' clearly expresses dissatisfaction and a sense of being deceived, which is best captured by anger.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
52007,3,Missed Savings,"I overlooked the spot not once, but 2xs that you have to additionally click on to receive 2% cash back on reload. Definitely know next time to make sure it is selected.",NEUTRAL,NEGATIVE,medium,"The reviewer is frustrated about missing cash back twice due to an overlooked click, making the overall tone unfavorable.",anger,anticipation,"{'anger': 1, 'anticipation': 2, 'disgust': 0, 'fear': 1, 'joy': 1, 'sadness': 0, 'surprise': 0, 'trust': 1}",
113917,3,Three Stars,was not accepted at some subway locations,NEUTRAL,NEGATIVE,medium,"The body reports the item was not accepted at some locations, indicating frustration despite the neutral three-star title.",anger,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
102385,3,Not happy with the package,I ordered a holiday gift card (snowglobe with a snowman inside) but it was packaged in a black box with an orange bow!! WTH?  Not happy,NEUTRAL,NEGATIVE,high,"The reviewer explicitly says they are not happy and uses an exasperated 'WTH' about the wrong packaging, showing clear frustration.",anger,anticipation,"{'anger': 0, 'anticipation': 4, 'disgust': 0, 'fear': 0, 'joy': 4, 'sadness': 0, 'surprise': 1, 'trust': 2}",
37145,1,One Star,It is saying that it is delivered but i didnt get the item,NEGATIVE,NEGATIVE,high,The reviewer is clearly frustrated and upset because the tracking says delivered but the item never arrived.,anger,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 0, 'trust': 1}",
46192,1,Not Shoneys,"Good Luck finding a Shoneys. Great deal. Sadly, no one wants it and I must seive32 miles hoping that location is still open.",NEGATIVE,NEGATIVE,medium,"The reviewer is disappointed that Shoneys locations are hard to find and they must drive 32 miles, with 'Sadly' signaling a negative overall tone.",sadness,anticipation,"{'anger': 0, 'anticipation': 3, 'disgust': 0, 'fear': 0, 'joy': 3, 'sadness': 1, 'surprise': 3, 'trust': 2}",
52262,3,Everything has a price,It’s very gif table easy to use and the value for money is great,NEUTRAL,POSITIVE,high,"The reviewer praises the product as easy to use and great value for money, clearly expressing satisfaction.",joy,anger,"{'anger': 1, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
126877,1,I'm so disappointed.,"It's not a card, it's just a crumpled paper. I'm so disappointed.",NEGATIVE,NEGATIVE,high,"The reviewer explicitly expresses disappointment and describes the item as a crumpled paper, clearly indicating dissatisfaction.",sadness,anger,"{'anger': 2, 'anticipation': 0, 'disgust': 2, 'fear': 0, 'joy': 0, 'sadness': 2, 'surprise': 0, 'trust': 0}",
20040,5,It works,Pretty simple. Not a whole lot to say.,POSITIVE,NEUTRAL,high,"The review is a matter-of-fact statement that the product functions, with no praise or criticism, indicating a neutral tone and a basic sense of reliability.",trust,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 0, 'trust': 1}",
31114,3,It's a gift card...,It's a gift card. What kind of review can I actually give? I liked receiving an extra $10 credit for purchasing it. My daughter liked the tin.,NEUTRAL,POSITIVE,medium,"The reviewer expresses mild satisfaction with the extra credit and notes their daughter liked the tin, giving an overall favorable tone.",joy,joy,"{'anger': 0, 'anticipation': 3, 'disgust': 0, 'fear': 0, 'joy': 5, 'sadness': 0, 'surprise': 3, 'trust': 2}",
102545,1,NEVER AGAIN....,"Received one as a gift.  For some reason Amazon (according to the issuing bank) removed the funds from the card after the card was purchased.  When I called Amazon to find out what happened, after 40 minutes they couldn't find any record of the card and had no idea why the funds would have been withdrawn from the card they couldn't find....  NEVER AGAIN.  I'm apparently out a $200 gift or the giver is in for an afternoon of endless questions and my guess is little or no satisfaction from Amazon customer service.",NEGATIVE,NEGATIVE,high,"The reviewer is clearly frustrated and angry after Amazon lost the gift card funds and provided no resolution, ending with 'NEVER AGAIN.'",anger,joy,"{'anger': 1, 'anticipation': 2, 'disgust': 0, 'fear': 1, 'joy': 3, 'sadness': 1, 'surprise': 3, 'trust': 2}",
25909,3,Three Stars,Dented tin :/,NEUTRAL,NEGATIVE,medium,"The review reports a dented tin with a frown emoticon, clearly expressing disappointment and dissatisfaction.",sadness,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
37229,5,It's a giftcard,Bought for teen. Easy gift,POSITIVE,NEUTRAL,medium,"The review is a brief, factual statement about buying a gift card as an easy gift, with no strong positive or negative feeling expressed.",trust,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 0}",
19151,1,useless,"peel off strip doesn't come off easily, finally got it off and it took the pin number with it. Got a refund. Read the negative reviews here. Sold and shipped by ACI which is owned by Amazon. Never again.",NEGATIVE,NEGATIVE,high,The reviewer expresses strong frustration and vows never to buy again after a defective product ruined the PIN and required a refund.,anger,sadness,"{'anger': 0, 'anticipation': 1, 'disgust': 1, 'fear': 0, 'joy': 1, 'sadness': 2, 'surprise': 1, 'trust': 1}",
123654,3,Ok...,"It was a little difficult to reload onto my account. Didn't seem to want to post to my account. Took three tries, I think.",NEUTRAL,NEGATIVE,medium,"The reviewer describes a frustrating reload process that took three tries, with no positive remarks, indicating mild dissatisfaction.",anger,trust,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 1, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 2}",
93355,3,Gift card,"The gift card arrived on time. However, there wasn't a writing that I had written on the gift card. My daughter had no idea who the card was from. The saying that I wrote wasn't on the card, as well. Not acceptable. I asked her if she received a gift card from Amazon. She said, yes, but had no idea who gave it to her.",NEUTRAL,NEGATIVE,high,"The reviewer is clearly dissatisfied and frustrated that the personalized message was omitted, making the gift card impersonal and unacceptable.",anger,anticipation,"{'anger': 0, 'anticipation': 5, 'disgust': 0, 'fear': 0, 'joy': 5, 'sadness': 0, 'surprise': 4, 'trust': 0}",
87871,5,Nice Looking,Good Envelope.,POSITIVE,POSITIVE,medium,"The brief praise 'Nice Looking' and 'Good Envelope' conveys clear satisfaction, though the emotion is mild.",joy,anticipation,"{'anger': 0, 'anticipation': 1, 'disgust': 0, 'fear': 0, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
57335,3,"Useful, but Caution","Useful for using up a Visa Gift Card with a small balance, but they charged a dollar as a so-called test to my account. However the dollar was never refunded, so it was a surcharge, not a test.",NEUTRAL,NEGATIVE,medium,"The reviewer acknowledges the card is useful but focuses on the unreimbursed dollar charge as a deceptive surcharge, making the overall stance critical and annoyed.",anger,anger,"{'anger': 2, 'anticipation': 2, 'disgust': 0, 'fear': 1, 'joy': 1, 'sadness': 0, 'surprise': 1, 'trust': 1}",
2874,5,Five Stars,Loved it!,POSITIVE,POSITIVE,high,"The reviewer explicitly states 'Loved it!' and gives five stars, clearly expressing satisfaction and happiness.",joy,neutral,"{'anger': 0, 'anticipation': 0, 'disgust': 0, 'fear': 0, 'joy': 0, 'sadness': 0, 'surprise': 0, 'trust': 0}",
