rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,ground_truth,_eval_key
1,appearance,was going to give away the container  with the gift card inside. But the container is severely damaged not by mail either. it was smashed badly around the edges. it's metal!! a big disappointment. but will keep it anyway just have to give the card away not the container!!  that was what she loved about the container how pretty it was!!,[],B01K8RKA9A,B01K8RKA9A,AEY3VITFP5QRIA7QWCXA4D33ODMA,1578505048918,0,True,NEGATIVE,97753
3,It does what it does,"Nothing exciting to say about this one. It does what it does, and it does it well.",[],B086KKT3RX,B086KKT3RX,AGXD5ZX6LFECCINVNLCNZVAW7C7Q,1631307705313,1,True,NEUTRAL,52005
5,Great,Great gift,[],B01JQSONCC,B018F4M89S,AFVGZT7Q2RUZVWLGCKUGPHKN3B6A,1557535038229,0,True,POSITIVE,8834
1,Lack of message meant confusion for recipient,Lack of personal message capability meant the receiver did not know who sent the gift card.,[],B014S1KSCQ,B018F4H5DM,AGOIIUAVZCJRPI4IC4CJX26JQSXQ,1478373352000,2,True,NEGATIVE,113973
3,Good experience but higher currency conversion rate,currency conversion rate was much higher than published bank rates,[],B086KKT3RX,B086KKT3RX,AEJKUKWLEZZFCKYWC4CH52YRURPA,1669168697265,0,True,NEUTRAL,123078
3,Three Stars,Ok,[],B00IX1I3G6,B00IX1I3G6,AGDLEYSVFDBXCHBEWKD4XPGMUARA,1419790179000,1,True,NEUTRAL,134935
5,"Super easy to use. Handy, no problems",This was So handy! I used it for myself for Amazon purchases. Received a small credit for reloading....,[],B00IX1I3G6,B00IX1I3G6,AFOTZUID6FDKWZGLCNXG2XIYYL4A,1597005220479,1,True,POSITIVE,41177
5,Reload,It worked,[],B086KKT3RX,B086KKT3RX,AE3ZHEYYYUBY5PHMWGF6TH2TUITQ,1642531970004,0,True,POSITIVE,77080
5,Adorable Santa Containers,"I usually send email gift certificates, but decided to hand these out this past Christmas.  My family loved them, and they thought the containers were adorable.",[],B01E4QUN0W,B00ADR2LV6,AG7TMYPD26JDN2HBTKQS7SMS4COQ,1483452782000,0,True,POSITIVE,32587
3,A good idea...if the tin makes it intact,Easy purchase for a gift...but the tin came all smashed. Not a very nice presentation. Disappointing.,"[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61J7pbPz85L._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61J7pbPz85L._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61J7pbPz85L.jpg', 'attachment_type': 'IMAGE'}]",B01K8RJDEI,B00ADR2LV6,AGX3QBOEBP5ZC36SZBDC7PAOM3SA,1577063645821,0,True,NEUTRAL,7383
5,Five Stars,Such a cute TIN!,[],B01K8RK2KW,B01K8RK2KW,AGQD3XXWJSZOJ7TWYE7RC2JSGIVA,1487740463000,0,True,POSITIVE,113233
1,Came dented,"Came dented & card was bent inside, terrible! Makes it look like I recycled it!!",[],B01C9MW8Z6,B00JFBLZ90,AH3YXZZNUYZCYBX2E5KKEQ5WB5FA,1594658973800,0,True,NEGATIVE,68236
3,Great to have on hand if you need something,I used it for my motorcycle. It's good and easy to use,[],B00IX1I3G6,B00IX1I3G6,AE6KWPXHYX5MTGDARBA5CWGFQOKA,1627431292770,0,True,NEUTRAL,53009
2,NEVER AGAIN!,"While I'm not your longest standing customer and certainly not your largest, I have been a very steady (and generally quite satisfied) customer of yours for well over 10 years.  This order has been the largest single purchase and, by far, the worst Amazon shopping experience EVER.<br /><br />Since last week I've been trying to take advantage of any available promotions on Amazon gift cards for our employees.  Not only did I have trouble reaching someone to ask questions and place an order, once I did, they were really no help at all and I was redirected back to the web.  So I placed the order on Thursday for delivery on Friday and must have edited the gift note sentiment at least 6 times in order to fall within the 240 character limit.  We did NOT receive the cards on Friday or Saturday; as a matter of fact, if we hadn't driven to the UPS depot last night (Monday) we still wouldn't have them.  After opening the package, there was no indication as to whose they were (after carefully complying with the instructions to indicate this) or what the value of the cards were (at least from the outside envelope) and there were no gift notes on any of them!  Talk about ""no good deed goes unpunished""!<br /><br />I was attempting to (at least slightly) personalize this gift but ended up feeling like I'd just left a warehouse store with a bulk purchase of gift cards...which is exactly what I'll do next time; at least then I'll know what to expect.  NEVER AGAIN!",[],BT00CTOUNS,BT00CTOUNS,AGBHQ5A6O4RCCZ455Q3HHRK7IK7A,1289939148000,84,True,NEGATIVE,132433
3,Good product.,Easy gift.,[],B00IX1I3G6,B00IX1I3G6,AEJF53FVROUTKGZII44QGCRW3AZA,1626750171200,0,True,NEUTRAL,51598
3,Valid only in US,It is only valid in US which makes it hard to use if you live abroad,[],B086KKT3RX,B086KKT3RX,AHN5RTZFJ2TDXE74GNS2NA7ECKUQ,1678739854427,0,True,NEUTRAL,123045
5,Gift,Easter basket card perfect gift for grown kids who still want Easter basket.,[],B08621FWD3,B0BT85F69N,AGDWLVDIQBCKKKLV5S6CKSODSWEA,1654355279262,0,True,POSITIVE,58020
5,Def buy,Always get extra cash to spend,[],B00IX1I3G6,B00IX1I3G6,AFL2S6WR6AHIPKFSLOZEKIFFV5TA,1617332318717,0,True,POSITIVE,51788
5,Great gift card presentation,Great easy way to send a gift card.,[],B01C9MW8Z6,B00JFBLZ90,AHAV63H4ER2TVXJ3ZLRS2ZXAQZKA,1605305418898,0,True,POSITIVE,112372
3,Hard to find,Hard to find on my card,[],B00IX1I3G6,B00IX1I3G6,AHKJXEEQ5U64FEUSSA6ZGJPK4UMA,1584555472757,0,True,NEUTRAL,355
5,Card for the wife,"My wife loves shopping on Amazon, so this is a no brainer for a gift for her.  Yes, she was very happy",[],B01K8RJVDQ,B077N4CNVJ,AFSCBAVQRATYZAIVSBNAR5EDKQFA,1668289028238,1,True,POSITIVE,91707
3,was for Christmas present,Need to fund out from person that  was given to and find out her experience and price needed if adequate,[],B003YLZCFK,B003YLZCFK,AFNJ5OJVA5LCGQCZYZRSYCCXGCPA,1387855988000,0,True,NEUTRAL,145838
5,a good gift card many options,"This is a very good gift card, easy to use with a lot of options.",[],B07RN957Q8,B07JMV25V6,AGRIGTMDPMZVNDZCS5NYDXB2UOFA,1642044542506,0,True,POSITIVE,128137
3,Why is there a purchase limit?,These are electronic cards printed on a piece of cardboard.  Why can't I buy more than 20?,[],B07YMZJHWT,B07YMZ5CQW,AF4T6FSOWAEMMNU7SKLHSTUKBBSA,1611021546060,0,True,NEUTRAL,132840
5,Great Gift,Exactly as described.,[],B016CID2JY,B016CID2JY,AG6LSZMZNX43V7VSQC3EURDLRQCA,1579113896922,0,True,POSITIVE,50735
3,Yeet,You should be able to use two different cards as a payment option,[],B00IX1I3G6,B00IX1I3G6,AHGAELPVS54OBSTEJH5YJDU3EXKA,1540744126804,0,True,NEUTRAL,107136
5,Easy to use,Works great,[],B00IX1I3G6,B00IX1I3G6,AGQUOMVCXAOWTGCZTY3MFXIBVM7Q,1536187672938,0,True,POSITIVE,49557
1,Cheap looking,The card came damaged. It didn’t look like a flower gift card. Cheap looking,[],B01IE42ST4,B0BT85F69N,AHVGEPPDA4FA4CEHMRZTPN4ZN36Q,1621717908342,0,True,NEGATIVE,74664
5,No Issues,"Gave as a gift, without any problems.",[],B07Y5W866K,B07Y62Z7L8,AGYLEEJZKIQXXZHX7PIALBKPICOA,1606005002201,0,True,POSITIVE,83069
3,The down side to these cards,"The cards can go up to 250.00, but you can only buy in $50.00 increments. I wanted $100.00, had to get 2 cards, and they shipped separately too",[],B07TFB6JWB,B07TFB6JWB,AGKUMPS5U3R7SS7V2BJDMSOUCULQ,1614886120301,0,False,NEUTRAL,60065
2,Couldn't use it to order online,Ok I guess,[],B01MSBQB1P,B01MSBQB1P,AGFYBTOTLBVB3MXBZOXK7OBVY3AA,1542155783779,3,True,NEGATIVE,110653
5,"It's great, of course","An Amazon gift card allows you to buy anything you could ever want. It is like giving money to somebody, except that person can buy directly from home with free shipping. There really is nothing bad about an Amazon gift card.",[],B005S28ZES,B005S28ZES,AGKPIRXTFZINHSTI7P6NJ3F7CRJQ,1327669804000,0,False,POSITIVE,62435
3,I have been thoroughly satisfied with Amazon and it's products and services from jump street.,Convenient,[],B00IX1I3G6,B00IX1I3G6,AH7DVMXMUKQ34IV5XVNZFOTMKNWQ,1568846706637,0,True,NEUTRAL,151937
3,I think it is a good gift card,I think it is  a good gift card.,[],B00KV30IHG,B00KV30IHG,AHPIBEUCPN257T4HTMTIRZYV5ZDQ,1483393540000,2,True,NEUTRAL,137040
5,Convenient,I used this as a part of a gift for secret Santa because it was in the person’s list. Very convenient.,[],B01K8RMDO0,B077N4CNVJ,AGC3TABBMQ6SF74YNYYU5LCURCOA,1674101835900,1,True,POSITIVE,45756
3,I guess this is good for people who want a tighter control over their ...,"I'd very much prefer to keep my funds handy, not just stuck on an Amazon account. I did this mainly to take advantage of the credit offer. I guess this is good for people who want a tighter control over their budget.",[],B00IX1I3G6,B00IX1I3G6,AE7DH2WBBBVXYONNKZB44RWHPFHQ,1504673382153,1,True,NEUTRAL,26343
3,I have trouble at some retailers using this,"Had trouble at Walmart using this card.  It was extremely inconvenient.<br />Also, can't get cash out... which sucks.",[],B01MSBQB1P,B01MSBQB1P,AE7D64JGXEGCMT7L6GEC7ECYBIVA,1618335109226,0,True,NEUTRAL,9820
5,Really easy to gift giving,I really do like to give amazon gift cards for any holiday. It is so easy and free shipping to the person you are giving it to.,[],B01IE42ST4,B0BT85F69N,AHOZU3OTYX2HVXU2EXW2ZKL27BMQ,1580529527242,0,True,POSITIVE,106381
5,Five Stars,"excellent, don;t know why I did not do this type of shopping, this season was a breeze! Thanks, Jeanne",[],B00U6OPWBM,B00U6OPWBM,AEUXGEBKZLXE65HPI62YJHXNVXKQ,1484260021000,0,False,POSITIVE,119407
5,It's a gift card.,You can't really go wrong with a gift card.,[],B00FGEHS00,B00FGEHS00,AFKFZBQGGM74DEN5FCJE3ZTGCRSQ,1507728981044,0,True,POSITIVE,12158
1,No comment,No comment,[],B00IX1I3G6,B00IX1I3G6,AG4E6ZHNU5GBJ2ZUCMAYFDM62XYA,1660771527540,0,True,NEGATIVE,54935
1,fake,fake,[],B00IX1I3G6,B00IX1I3G6,AHQOF3M6ZPR7CLPU77UWLK7VXTKA,1560863739049,0,True,NEGATIVE,139291
3,Missed Savings,"I overlooked the spot not once, but 2xs that you have to additionally click on to receive 2% cash back on reload. Definitely know next time to make sure it is selected.",[],B00IX1I3G6,B00IX1I3G6,AHSTTWMFJLHOO7R5DKRN62KJRIAQ,1617059340152,0,True,NEUTRAL,52007
3,Three Stars,was not accepted at some subway locations,[],B00CIECDEM,B00BXLW5QC,AEZX3OS525N7T55IN3WOAG6QQ7HA,1492753187000,0,True,NEUTRAL,113917
3,Not happy with the package,I ordered a holiday gift card (snowglobe with a snowman inside) but it was packaged in a black box with an orange bow!! WTH?  Not happy,[],B005ESMF5G,B005ESMF5G,AHFMWHJDMDWE5RNLGZKIDLRBZ5CA,1353186169000,1,True,NEUTRAL,102385
1,One Star,It is saying that it is delivered but i didnt get the item,[],B005ESMGZU,B005ESMGZU,AFOQKTXC2I5W2SFAJUXCDBSW3MCA,1468529346000,0,True,NEGATIVE,37145
1,Not Shoneys,"Good Luck finding a Shoneys. Great deal. Sadly, no one wants it and I must seive32 miles hoping that location is still open.",[],B00P3DVHT2,B00P3DVBFW,AEJXOT6OENU2P5TTTRBBHEPNDZPA,1470528126000,0,True,NEGATIVE,46192
3,Everything has a price,It’s very gif table easy to use and the value for money is great,[],B00IX1I3G6,B00IX1I3G6,AFXYGW7MEQNOTPOUNGLNIRYU37XQ,1620416651103,0,True,NEUTRAL,52262
1,I'm so disappointed.,"It's not a card, it's just a crumpled paper. I'm so disappointed.",[],B06ZYYYHV3,B073VBZM8J,AHKHU6EDACC6IRJ3CNZ2O5BJHDZQ,1591204755479,1,True,NEGATIVE,126877
5,It works,Pretty simple. Not a whole lot to say.,[],B07XMLDH8Y,B07XMLDH8Y,AGYKIDEYSNEFQB7747FEOUH7CWAQ,1578886470180,2,True,POSITIVE,20040
3,It's a gift card...,It's a gift card. What kind of review can I actually give? I liked receiving an extra $10 credit for purchasing it. My daughter liked the tin.,[],B0091JKU5Q,B00ADR2LV6,AHWTUPVREN3KPJIZ6M7SWYILPJHQ,1483710783000,0,True,NEUTRAL,31114
1,NEVER AGAIN....,"Received one as a gift.  For some reason Amazon (according to the issuing bank) removed the funds from the card after the card was purchased.  When I called Amazon to find out what happened, after 40 minutes they couldn't find any record of the card and had no idea why the funds would have been withdrawn from the card they couldn't find....  NEVER AGAIN.  I'm apparently out a $200 gift or the giver is in for an afternoon of endless questions and my guess is little or no satisfaction from Amazon customer service.",[],B07HJD9FVV,B07HJD9FVV,AHG23IQGCICFD65PSCHWAXPPWYXA,1546706610939,6,False,NEGATIVE,102545
3,Three Stars,Dented tin :/,[],B00JDQKELW,B00JDQKELW,AFB3VBRR4XBEDQY24UI2KVF65TYA,1476741519000,0,True,NEUTRAL,25909
5,It's a giftcard,Bought for teen. Easy gift,[],B071NM2PNL,B071X4ZX3X,AH6KCNT6NDX7RPI6HJHPU2TXPL2Q,1674074398538,0,True,POSITIVE,37229
1,useless,"peel off strip doesn't come off easily, finally got it off and it took the pin number with it. Got a refund. Read the negative reviews here. Sold and shipped by ACI which is owned by Amazon. Never again.",[],B07TFB6JWB,B07TFB6JWB,AGSFD3TMJBO7KMDOIL4TRH2U67IQ,1656897031466,0,True,NEGATIVE,19151
3,Ok...,"It was a little difficult to reload onto my account. Didn't seem to want to post to my account. Took three tries, I think.",[],B00IX1I3G6,B00IX1I3G6,AHFJH45RLEUXUBGFCLASSNLRYTAQ,1595081744006,0,True,NEUTRAL,123654
3,Gift card,"The gift card arrived on time. However, there wasn't a writing that I had written on the gift card. My daughter had no idea who the card was from. The saying that I wrote wasn't on the card, as well. Not acceptable. I asked her if she received a gift card from Amazon. She said, yes, but had no idea who gave it to her.",[],B01IE42ST4,B0BT85F69N,AHZEQXJW3F4P5GDCGDCK7EFCBYLQ,1588432961665,0,False,NEUTRAL,93355
5,Nice Looking,Good Envelope.,[],B071NM2PNL,B071X4ZX3X,AEOPWNO6VHA3KI2V65VH5CV3BDHA,1607641681002,0,True,POSITIVE,87871
3,"Useful, but Caution","Useful for using up a Visa Gift Card with a small balance, but they charged a dollar as a so-called test to my account. However the dollar was never refunded, so it was a surcharge, not a test.",[],B00IX1I3G6,B00IX1I3G6,AET7HSCCMH52Y5KIJLIZ5B4ZFEHQ,1490060601000,4,True,NEUTRAL,57335
5,Five Stars,Loved it!,[],B005ESMGZU,B005ESMGZU,AGL5WPSJWICCOTWA4WSWNU4JTYDA,1468513396000,0,True,POSITIVE,2874
1,You delivered a gift card which is like cash to the wrong address.,"Gift cards are like cash and should be treated like cash so when you give it to someone that wasn't supposed to get it, it might be hard to track down the next day. So you should deliver the gift cards to the ACTUAL address it was delivered to. You just made some stranger a merry christmas while im sitting here writing this.",[],B01MSBQB1P,B01MSBQB1P,AH7EDZA6BNGB6JEONO5J2B5FIVWQ,1545732492716,2,True,NEGATIVE,110554
1,Even after a phone call never received the codes to use the cards,These were given out to our clients and they were not able to use the cards outside of Amazon. We asked for codes and never received them,[],B01MSBQB1P,B01MSBQB1P,AHFIVKIT54B3HMLFEF4OJWCGYBIA,1641835938469,1,True,NEGATIVE,110750
1,"I love Panera, however","I love Panera, however, I sent one of these to my granddaughter for Christmas and today she called to tell me that when she went to use it at college, she ended up paying for her food herself because the card didn't work and when she went on line to check the number, it, too, said $0 balance.  She had never used it. I have the other one I ordered then still here and was going to send it to her for her birthday. So, now I'll have to scratch off the PIN # and go online to check it BEFORE I can send it.  That will make it less than a brand new card for her to open and use on her birthday IF it IS a good card.  Not sure what to do now that the other one doesn't work and I paid $25 for it!  Who do I call?",[],B00GOLGWVK,B00GOLGUVC,AHO55BHOX3G2JSYGWYU7ZYIV5C7Q,1517541112615,2,True,NEGATIVE,104872
3,I won't purchase any more gift cards.,This was a gift.  One of the cards was not activated and couldn't be used.,[],B00JJ59UA8,B00JJ59RZQ,AEXDC3NMM3T6M47SCZBUFMIWCK4A,1541894942332,1,True,NEUTRAL,145903
1,Holiday message not included but it was on my order invoice,Did not come with my holiday message printed on it.<br /><br />Items Ordered Price<br />1 of: Amazon.com Gift Card with Greeting Card - $15  (Christmas Tree design) [Paper Gift Certificate]<br />Condition: New<br />Sold by: Amazon.com LLC<br />$15.00<br />- 1 item(s) Gift options:<br />- Gift-wrap: None<br />- Gift note: Merry Christmas From: Jason,[],B005J02O00,BT00CTOUNS,AEVT6TQSHPGIIVSDNX3OM4YHPHKQ,1385516124000,0,True,NEGATIVE,61348
5,Convenient,They were given to the workers at a nonprofit for Christmas.,[],B07GTM8YBY,B07KK31S7L,AFFHHBHGQ5TLQ7MGLA4235AEDKTQ,1640915729357,0,True,POSITIVE,61765
5,Convenience,Easy,[],B00IX1I3G6,B00IX1I3G6,AERZ7BUINVC6IKIEPJ3G2M3UUT3A,1568695816280,0,True,POSITIVE,113069
5,Cute Box,Very cute gift box.,[],B01C9MW8Z6,B00JFBLZ90,AGWZRBKXVCJLDYSU4X2THGNG2ORQ,1636935809972,0,True,POSITIVE,6263
3,Can’t be used online,Can’t be used online such at AE. You have go into store. Never bought if knew this.,[],B08DJ4KKFF,B07JMV25V6,AE36VMRWPQQNVOHUSNVLAZJKNXLA,1670799719843,1,True,NEUTRAL,128122
3,Descret shipping cane in a brown box in another brown ...,Descret shipping cane in a brown box in another brown box. Fast shipping also got less then a week. Smaller then expected. Hard to handle. Feels realistic. Came with everything.,[],B00IX1I3G6,B00IX1I3G6,AFLROFN5E27BNN2TKY7AKYTN4ZUQ,1523493786411,0,True,NEUTRAL,130367
3,I was finely able to reload and I got my ...,"I was finely able to reload and I got my balance quickly, however in the past it was a lot easier to reload.",[],B00IX1I3G6,B00IX1I3G6,AEOJNBLN4COAQUDCJPCG7NJG44VA,1463864761000,1,True,NEUTRAL,132231
1,Disappointing for Father’s Day,I used the gift option with a whole paragraph typed out for Father’s Day & just recently found out it was literally just the card with No note nor any of the names in or on the box from his grandchildren! Very Disappointing & will not be purchasing a gift card from Amazon again.,[],B01C9P3EGU,B077N4CNVJ,AEY5HHWOXVZL3STC44P4AL477PXA,1592624440749,1,False,NEGATIVE,91257
1,Tricky part is withdrawal of fund,"It's easy to relaod, But impossible to withdraw....",[],B00IX1I3G6,B00IX1I3G6,AH65WG3PIU2LDLEX2IEXDABHHFIA,1521639788546,0,True,NEGATIVE,148003
1,I expected better,The gift card had a big tear on the back side. It was like that enclosed in a plastic wrap. Very embarrassing since I only saw it shortly before having to give out the gift card.,[],B07FKK8SFR,B07FKK8SFR,AELJI2JT44JU3F2O6EA6YZ5R4Z3A,1561137145912,2,True,NEGATIVE,36565
3,ok,ok,[],B00IX1I3G6,B00IX1I3G6,AG222EMOC43YAM2QYNGW2ZP7OHVA,1497573751617,0,True,NEUTRAL,24310
5,The perfect Amazon,The perfect Amazon,[],B01K8RL9C2,B018F4H5DM,AFOC37VKJ5OYM5CBNAXMK5XNUSYQ,1607014232631,0,True,POSITIVE,114058
3,Damaged,"Pretty disappointed, the box came totally beat up. I'm a little embarrassed to give it as a wedding present so I'll probably end up taking it out of the box which was the whole point of ordering this. I'm glad I didn't pay extra for the box but I expected more.","[{'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91HiF1lrbNL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91HiF1lrbNL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/91HiF1lrbNL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/A1WgEKWDhvL._SL256_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/A1WgEKWDhvL._SL800_.jpg', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/A1WgEKWDhvL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B06ZYZ1TKK,B073VBZM8J,AECGJ422BCVZNHNIA4DWVX4ABJPA,1620867567670,1,True,NEUTRAL,98652
1,Watch what it's used for,These cards were used to scam money from my Credit Union Account!,[],B00IX1I3G6,B00IX1I3G6,AHKIKV3MH643PDYVYUSQ4XSANUYQ,1565942636020,1,True,NEGATIVE,148152
5,Five Stars,Amazon is the best!,[],B014S24B28,B018F4M89S,AEA2ZW3A4O72OYTOGGUIIXO7W7NQ,1484515106000,0,True,POSITIVE,137057
5,Five Stars,glad this is now an option,[],B00IX1I3G6,B00IX1I3G6,AGSE2IS57K5WZ2RAPIN6TBFSBONQ,1489696132000,0,True,POSITIVE,15416
1,Cards send without activation,"The cards are probably great, but they were sent to me WITHOUT being activated!!  This was especially troublesome as I gave them as a gift and the beneficiary didn't find out they were not activated until they got to the cash register and the cards were denied.",[],B00DWIH8HU,B00DWIH5VY,AGUVL2AJX7K5UTVEPTVJ74QIKSMA,1502855842548,1,True,NEGATIVE,69855
5,Great gift item,Great gift item,[],B071DTXNHG,B00ADR2LV6,AE45ZIWDCMPQXEDGVFY3RCUVULGA,1552240240532,0,True,POSITIVE,24753
1,gift,gift card was not included. Refund is supposed to be issued,[],B01C9MW8Z6,B00JFBLZ90,AGFUYJEZX4VXKZX3DGMH2WSUED4A,1597244043451,1,False,NEGATIVE,25335
5,Excellent!,Excellent!,[],B086KKT3RX,B086KKT3RX,AH3WGNXZZ2CJMZRINXT6EPAPGIKA,1652721999876,0,True,POSITIVE,82547
3,It’s a gift card,Not much to review here,[],B086KKT3RX,B086KKT3RX,AFBNFMUYOC4D5SQE6ETFVUTVIJRA,1682969765856,0,True,NEUTRAL,133196
1,clickbait scam,clickbait scam,[],B00IX1I3G6,B00IX1I3G6,AGVMOV2LPERRXJCKG66WRPZ32KTQ,1466443238000,0,True,NEGATIVE,42553
5,nice,nice,[],B00IX1I3G6,B00IX1I3G6,AEB7VV4BNAS4AK55H6OF6A7MCBLQ,1594769874894,0,True,POSITIVE,121903
1,Doesn't work,Doesn't work at walmart's or target or gas station. Never agian,[],B01MSBQB1P,B01MSBQB1P,AFJ6D4GJJT2MCUK7UERL4E45ZETA,1549072268282,1,True,NEGATIVE,111647
1,I was very disappointed because I did not know it would cost so ...,I was very disappointed because I did not know it would cost so much to get them programmed. $80.00 for both of them. Needless to say they are sitting in a drawer.,[],B00IX1I3G6,B00IX1I3G6,AFL2OQJTFC43QSCNPYHMJNAVQPCA,1515884729279,0,True,NEGATIVE,134956
1,Never got my bonus,I was told that if I loaded $100 onto the car they reload it with an extra 10 or 20 I’m not sure what it was but it was until after I already loaded the card that it said must be a first time customer that should I put in a bright print in the beginning I would never loaded the car with my frozen anything for you guys use my card like I always do,[],B00IX1I3G6,B00IX1I3G6,AHQFMXSISTPZVKFHZG6DREAVYMEQ,1630027814498,0,True,NEGATIVE,51207
5,Five Stars,"Very easy to get, nice way to use a prepaid card that I got as a rebate.",[],B00IX1I3G6,B00IX1I3G6,AH6KDCHF7AJ7HC2YRKBYHGLBTZEA,1521919565779,0,True,POSITIVE,60684
1,Easy to load,I have reloaded my card twice and the second time I never got the $10 credit for reloading my card.....<br />Cannot purchase gift cards,[],B00IX1I3G6,B00IX1I3G6,AH77DQXHBWZ3A4QPTRZCU3LN76VQ,1616960933912,0,True,NEGATIVE,33464
1,I need help?!?,I ordered 2 gift cards at the same time but they didn't mark which one for $50 and which one for $25,[],B01C9P3EGU,B077N4CNVJ,AG4KU5OXV3ZHCJO3FPTS7VAB4TFQ,1481738595000,1,False,NEGATIVE,136466
1,This is a scam,Bought 4 gift cards and they say 0 value. Wtf,[],B07FK7L976,B00ADR2LV6,AE5VM7I34CZMYY35ZH6IY2VMLMRA,1640443990562,2,True,NEGATIVE,64837
3,Beware you may not get the design you ordered.,"If it’s important to you to receive a particular design (i.e. nativity scene) you need to state that you do not want a substitution. Otherwise, they’ll send whatever they want. Kudos to Amazon though for at least refunding my money after sending me a design I didn’t want for a Christmas gift.",[],B01KII4XSS,B01KII4XSS,AHYHBSO5MZFKASCARQYHTDJKSESQ,1544740215610,0,True,NEUTRAL,81231
5,I like when the picture on the front of the gift ...,I like when the picture on the front of the gift card matches the picture on the front of the greeting card.,[],B005ISQ62U,BT00CTOUNS,AHU4XOUCBZ44K7LOGE5HNAYVYYIQ,1453487476000,0,True,POSITIVE,138797
3,The reason for three stars is simply because it was ...,"The reason for three stars is simply because it was a promotion to order this card on the Echo, and receive a discount on my next order, and it turned out to be nothing but trouble to even try and get the discount to work.",[],B0160LI5T0,B0160LI5T0,AGUPA23E7O4ZRCRSPAXFGUOPCABQ,1496787584000,1,True,NEUTRAL,39672
3,Reload,"If I want to buy something,the money is there.Very convenient.",[],B00IX1I3G6,B00IX1I3G6,AHAJQYH5XJ4WSAJM2U2SWKLNWIHQ,1427408524000,1,True,NEUTRAL,121289
